"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","PclassSex","Surname","Title","Fsize","FsizeName","Favg","Ticket2","Tsize","Group","GroupSize","FarePP","MedianFarePP","FareBins","AgeLM","IsChildP12","NumNA","SumSurvived","AnySurvivors","IsSolo"
941,NA,"3","female",36,0,2,"C.A. 37671",15.9,"U","S","P3Female","Coutts","Mrs",3,"3Coutts",NA,"C.A. 376xx",3,3,"group",5.3,7.75,"[ 3.17,  7.28)",30.9142593465387,"No",1,2,"survivors in group","Yes"
942,NA,NA,"male",24,1,0,"13695",60,"C","S",NA,"Smith","Mr",2,"2Smith",NA,"136xx",2,2,"duo",30,28.875,"[26.39,128.08]",NA,"No",2,0,"other","No"
943,NA,"2","male",27,0,0,"SC/PARIS 2168",15.0333,"U","C","P2Male","Pulbaum","Mr",1,"1Pulbaum",NA,"SC/PARIS 21xx",1,1,"solo",15.0333,12.35,"[10.52, 26.39)",31.3376811073898,"No",1,0,"other","Yes"
944,NA,"2","female",20,2,1,"29105",23,"U","S","P2Female","Hocking","Miss",4,"4Hocking",4,"291xx",2,4,"group",11.5,12.35,"[10.52, 26.39)",16.9928261391656,"No",1,1,"survivors in group","No"
945,NA,"1","female",28,3,2,"19950",263,"C","S","P1Female","Fortune","Miss",6,"6Fortune",NA,"199xx",6,6,"large group",43.8333333333333,30,"[26.39,128.08]",28.246622458364,"No",2,2,"survivors in group","No"
946,NA,"2","male",31.3376811073898,0,0,"SC/A.3 2861",15.5792,"U","C","P2Male","Mangiavacchi","Mr",1,"1Mangiavacchi",NA,"SC/A.3 28xx",1,1,"solo",15.5792,12.35,"[10.52, 26.39)",31.3376811073898,"No",1,0,"other","Yes"
947,NA,"3","male",10,4,1,"382652",29.125,"U","Q","P3Male","Rice","Master",6,"6Rice",NA,"3826xx",6,6,"large group",4.85416666666667,7.75,"[ 3.17,  7.28)",7.89001202441654,"No",1,0,"other","No"
948,NA,"3","male",35,0,0,"349230",7.8958,"U","S","P3Male","Cor","Mr",3,"1Cor",NA,"3492xx",1,3,"group",7.8958,7.75,"[ 7.28,  7.92)",26.4605279624181,"No",1,0,"other","Yes"
949,NA,"3","male",25,0,0,"348122",7.65,"F","S","P3Male","Abelseth","Mr",2,"1Abelseth",NA,"3481xx",1,2,"duo",7.65,7.75,"[ 7.28,  7.92)",27.0954133877119,"No",1,0,"other","Yes"
950,NA,"3","male",25.770207736175,1,0,"386525",16.1,"U","S","P3Male","Davison","Mr",2,"2Davison",NA,"3865xx",2,2,"duo",8.05,7.75,"[ 7.92, 10.52)",25.770207736175,"No",1,1,"survivors in group","No"
951,NA,"1","female",36,0,0,"PC 17608",262.375,"B","C","P1Female","Chaudanson","Miss",1,"1Chaudanson",NA,"PC 176xx",7,7,"large group",37.4821428571429,30,"[26.39,128.08]",30.1937027279447,"No",5,2,"survivors in group","Yes"
952,NA,"3","male",17,0,0,"349232",7.8958,"U","S","P3Male","Dika","Mr",1,"1Dika",NA,"3492xx",1,1,"solo",7.8958,7.75,"[ 7.28,  7.92)",29.8474778255194,"No",1,0,"other","Yes"
953,NA,"2","male",32,0,0,"237216",13.5,"U","S","P2Male","McCrae","Mr",1,"1McCrae",NA,"2372xx",1,1,"solo",13.5,12.35,"[10.52, 26.39)",33.313566710812,"No",1,0,"other","Yes"
954,NA,"3","male",18,0,0,"347090",7.75,"U","S","P3Male","Bjorklund","Mr",1,"1Bjorklund",NA,"3470xx",1,1,"solo",7.75,7.75,"[ 7.28,  7.92)",29.8474778255194,"No",1,0,"other","Yes"
955,NA,"3","female",22,0,0,"334914",7.725,"U","Q","P3Female","Bradley","Miss",1,"1Bradley",NA,"3349xx",1,1,"solo",7.725,7.75,"[ 7.28,  7.92)",24.4443208710542,"No",1,0,"other","Yes"
956,NA,NA,"male",13,2,2,"PC 17608",262.375,"B","C",NA,"Ryerson","Master",5,"5Ryerson",NA,"PC 176xx",7,7,"large group",37.4821428571429,28.875,"[26.39,128.08]",NA,"No",5,2,"survivors in group","No"
957,NA,"2","female",34.9625825755171,0,0,"F.C.C. 13534",21,"U","S","P2Female","Corey","Mrs",1,"1Corey",NA,"F.C.C. 135xx",2,2,"duo",10.5,12.35,"[ 7.92, 10.52)",34.9625825755171,"No",2,0,"other","Yes"
958,NA,"3","female",18,0,0,"330963",7.8792,"U","Q","P3Female","Burns","Miss",1,"1Burns",NA,"3309xx",1,1,"solo",7.8792,7.75,"[ 7.28,  7.92)",24.4443208710542,"No",1,0,"other","Yes"
959,NA,NA,"male",47,0,0,"113796",42.4,"U","S",NA,"Moore","Mr",1,"1Moore",NA,"1137xx",2,2,"duo",21.2,28.875,"[10.52, 26.39)",NA,"No",1,0,"other","Yes"
960,NA,NA,"male",31,0,0,"2543",28.5375,"C","C",NA,"Tucker","Mr",1,"1Tucker",NA,"25xx",1,1,"solo",28.5375,28.875,"[26.39,128.08]",NA,"No",1,0,"other","Yes"
961,NA,"1","female",60,1,4,"19950",263,"C","S","P1Female","Fortune","Mrs",6,"6Fortune",NA,"199xx",6,6,"large group",43.8333333333333,30,"[26.39,128.08]",45.6604700918337,"No",2,2,"survivors in group","No"
962,NA,"3","female",24,0,0,"382653",7.75,"U","Q","P3Female","Mulvihill","Miss",1,"1Mulvihill",NA,"3826xx",1,1,"solo",7.75,7.75,"[ 7.28,  7.92)",24.4443208710542,"No",1,0,"other","Yes"
963,NA,"3","male",21,0,0,"349211",7.8958,"U","S","P3Male","Minkoff","Mr",1,"1Minkoff",NA,"3492xx",1,1,"solo",7.8958,7.75,"[ 7.28,  7.92)",29.8474778255194,"No",1,0,"other","Yes"
964,NA,"3","female",29,0,0,"3101297",7.925,"U","S","P3Female","Nieminen","Miss",1,"1Nieminen",NA,"31012xx",1,1,"solo",7.925,7.75,"[ 7.92, 10.52)",19.5377728792442,"No",1,0,"other","Yes"
965,NA,NA,"male",28.5,0,0,"PC 17562",27.7208,"D","C",NA,"Ovies y Rodriguez","Mr",1,"1Ovies y Rodriguez",NA,"PC 175xx",1,1,"solo",27.7208,28.875,"[26.39,128.08]",NA,"No",1,0,"other","Yes"
966,NA,"1","female",35,0,0,"113503",211.5,"C","C","P1Female","Geiger","Miss",1,"1Geiger",NA,"1135xx",5,5,"large group",42.3,30,"[26.39,128.08]",30.1937027279447,"No",4,0,"other","Yes"
967,NA,NA,"male",32.5,0,0,"113503",211.5,"C","C",NA,"Keeping","Mr",1,"1Keeping",NA,"1135xx",5,5,"large group",42.3,28.875,"[26.39,128.08]",NA,"No",4,0,"other","Yes"
968,NA,"3","male",29.8474778255194,0,0,"359306",8.05,"U","S","P3Male","Miles","Mr",1,"1Miles",NA,"3593xx",1,1,"solo",8.05,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",1,0,"other","Yes"
969,NA,"1","female",55,2,0,"11770",25.7,"C","S","P1Female","Cornell","Mrs",3,"3Cornell",NA,"117xx",1,3,"group",25.7,30,"[10.52, 26.39)",41.986754058538,"No",1,0,"other","No"
970,NA,"2","male",30,0,0,"248744",13,"U","S","P2Male","Aldworth","Mr",1,"1Aldworth",NA,"2487xx",1,1,"solo",13,12.35,"[10.52, 26.39)",33.313566710812,"No",1,0,"other","Yes"
971,NA,"3","female",24,0,0,"368702",7.75,"U","Q","P3Female","Doyle","Miss",1,"1Doyle",NA,"3687xx",1,1,"solo",7.75,7.75,"[ 7.28,  7.92)",24.4443208710542,"No",1,0,"other","Yes"
972,NA,"3","male",6,1,1,"2678",15.2458,"U","C","P3Male","Boulos","Master",3,"3Boulos",NA,"26xx",3,3,"group",5.08193333333333,7.75,"[ 3.17,  7.28)",2.73998716525239,"No",1,0,"other","No"
973,NA,NA,"male",67,1,0,"PC 17483",221.7792,"C","S",NA,"Straus","Mr",2,"2Straus",NA,"PC 174xx",4,4,"group",55.4448,28.875,"[26.39,128.08]",NA,"No",3,0,"other","No"
974,NA,NA,"male",49,0,0,"19924",26,"U","S",NA,"Case","Mr",1,"1Case",NA,"199xx",1,1,"solo",26,28.875,"[10.52, 26.39)",NA,"No",1,0,"other","Yes"
975,NA,"3","male",29.8474778255194,0,0,"349238",7.8958,"U","S","P3Male","Demetri","Mr",1,"1Demetri",NA,"3492xx",1,1,"solo",7.8958,7.75,"[ 7.28,  7.92)",29.8474778255194,"No",1,0,"other","Yes"
976,NA,"2","male",38.220114702622,0,0,"240261",10.7083,"U","Q","P2Male","Lamb","Mr",1,"1Lamb",NA,"2402xx",1,1,"solo",10.7083,12.35,"[10.52, 26.39)",38.220114702622,"No",1,0,"other","Yes"
977,NA,"3","male",23.7943221327528,1,0,"2660",14.4542,"U","C","P3Male","Khalil","Mr",2,"2Khalil",NA,"26xx",2,2,"duo",7.2271,7.75,"[ 3.17,  7.28)",23.7943221327528,"No",2,0,"other","No"
978,NA,"3","female",27,0,0,"330844",7.8792,"U","Q","P3Female","Barry","Miss",1,"1Barry",NA,"3308xx",1,1,"solo",7.8792,7.75,"[ 7.28,  7.92)",24.4443208710542,"No",1,0,"other","Yes"
979,NA,"3","female",18,0,0,"A/4 31416",8.05,"U","S","P3Female","Badman","Miss",1,"1Badman",NA,"A/4 314xx",1,1,"solo",8.05,7.75,"[ 7.92, 10.52)",19.5377728792442,"No",1,0,"other","Yes"
980,NA,"3","female",24.4443208710542,0,0,"364856",7.75,"U","Q","P3Female","O'Donoghue","Miss",1,"1O'Donoghue",NA,"3648xx",1,1,"solo",7.75,7.75,"[ 7.28,  7.92)",24.4443208710542,"No",1,0,"other","Yes"
981,NA,"2","male",2,1,1,"29103",23,"U","S","P2Male","Wells","Master",3,"3Wells",NA,"291xx",3,3,"group",7.66666666666667,12.35,"[ 7.28,  7.92)",8.18196165396719,"Yes",2,1,"survivors in group","No"
982,NA,"3","female",22,1,0,"347072",13.9,"U","S","P3Female","Dyker","Mrs",2,"2Dyker",NA,"3470xx",2,2,"duo",6.95,7.75,"[ 3.17,  7.28)",30.1712880386875,"No",2,0,"other","No"
983,NA,"3","male",29.8474778255194,0,0,"345498",7.775,"U","S","P3Male","Pedersen","Mr",1,"1Pedersen",NA,"3454xx",1,1,"solo",7.775,7.75,"[ 7.28,  7.92)",29.8474778255194,"No",1,0,"other","Yes"
984,NA,"1","female",27,1,2,"F.C. 12750",52,"B","S","P1Female","Davidson","Mrs",3,"4Davidson",3,"F.C. 127xx",2,3,"group",26,30,"[10.52, 26.39)",43.3646107916829,"No",1,0,"other","No"
985,NA,"3","male",29.8474778255194,0,0,"376563",8.05,"U","S","P3Male","Guest","Mr",1,"1Guest",NA,"3765xx",1,1,"solo",8.05,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",1,0,"other","Yes"
986,NA,NA,"male",25,0,0,"13905",26,"U","C",NA,"Birnbaum","Mr",1,"1Birnbaum",NA,"139xx",1,1,"solo",26,28.875,"[10.52, 26.39)",NA,"No",1,0,"other","Yes"
987,NA,"3","male",25,0,0,"350033",7.7958,"U","S","P3Male","Tenglin","Mr",1,"1Tenglin",NA,"3500xx",1,1,"solo",7.7958,7.75,"[ 7.28,  7.92)",29.8474778255194,"No",1,0,"other","Yes"
988,NA,"1","female",76,1,0,"19877",78.85,"C","S","P1Female","Cavendish","Mrs",2,"2Cavendish",NA,"198xx",3,3,"group",26.2833333333333,30,"[10.52, 26.39)",43.3119597100749,"No",1,1,"survivors in group","No"
989,NA,"3","male",29,0,0,"STON/O 2. 3101268",7.925,"U","S","P3Male","Makinen","Mr",1,"1Makinen",NA,"STON/O 2. 31012xx",1,1,"solo",7.925,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",1,0,"other","Yes"
990,NA,"3","female",20,0,0,"347471",7.8542,"U","S","P3Female","Braf","Miss",1,"1Braf",NA,"3474xx",1,1,"solo",7.8542,7.75,"[ 7.28,  7.92)",19.5377728792442,"No",1,0,"other","Yes"
991,NA,"3","male",33,0,0,"A./5. 3338",8.05,"U","S","P3Male","Nancarrow","Mr",1,"1Nancarrow",NA,"A./5. 33xx",1,1,"solo",8.05,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",1,0,"other","Yes"
992,NA,"1","female",43,1,0,"11778",55.4417,"C","C","P1Female","Stengel","Mrs",2,"2Stengel",NA,"117xx",2,2,"duo",27.72085,30,"[26.39,128.08]",41.9709595319465,"No",2,0,"other","No"
993,NA,"2","male",27,1,0,"228414",26,"U","S","P2Male","Weisz","Mr",2,"2Weisz",NA,"2284xx",2,2,"duo",13,12.35,"[10.52, 26.39)",29.2362966214676,"No",1,1,"survivors in group","No"
994,NA,"3","male",34.7540258173294,0,0,"365235",7.75,"U","Q","P3Male","Foley","Mr",1,"1Foley",NA,"3652xx",1,1,"solo",7.75,7.75,"[ 7.28,  7.92)",34.7540258173294,"No",1,0,"other","Yes"
995,NA,"3","male",26,0,0,"347070",7.775,"U","S","P3Male","Johansson Palmquist","Mr",1,"1Johansson Palmquist",NA,"3470xx",1,1,"solo",7.775,7.75,"[ 7.28,  7.92)",29.8474778255194,"No",1,0,"other","Yes"
996,NA,"3","female",16,1,1,"2625",8.5167,"U","C","P3Female","Thomas","Mrs",3,"3Thomas",NA,"26xx",2,3,"group",4.25835,7.75,"[ 3.17,  7.28)",27.5868425507756,"No",1,1,"survivors in group","No"
997,NA,"3","male",28,0,0,"C 4001",22.525,"U","S","P3Male","Holthen","Mr",1,"1Holthen",NA,"C 40xx",3,3,"group",7.50833333333333,7.75,"[ 7.28,  7.92)",26.4605279624181,"No",2,0,"other","Yes"
998,NA,"3","male",21,0,0,"330920",7.8208,"U","Q","P3Male","Buckley","Mr",1,"1Buckley",NA,"3309xx",1,1,"solo",7.8208,7.75,"[ 7.28,  7.92)",34.7540258173294,"No",1,0,"other","Yes"
999,NA,"3","male",34.7540258173294,0,0,"383162",7.75,"U","Q","P3Male","Ryan","Mr",1,"1Ryan",NA,"3831xx",1,1,"solo",7.75,7.75,"[ 7.28,  7.92)",34.7540258173294,"No",1,0,"other","Yes"
1000,NA,"3","male",29.8474778255194,0,0,"3410",8.7125,"U","S","P3Male","Willer","Mr",1,"1Willer",NA,"34xx",1,1,"solo",8.7125,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",1,0,"other","Yes"
1001,NA,"2","male",18.5,0,0,"248734",13,"F","S","P2Male","Swane","Mr",1,"1Swane",NA,"2487xx",1,1,"solo",13,12.35,"[10.52, 26.39)",33.313566710812,"No",1,0,"other","Yes"
1002,NA,"2","male",41,0,0,"237734",15.0458,"U","C","P2Male","Stanton","Mr",1,"1Stanton",NA,"2377xx",1,1,"solo",15.0458,12.35,"[10.52, 26.39)",31.3376811073898,"No",1,0,"other","Yes"
1003,NA,"3","female",24.4443208710542,0,0,"330968",7.7792,"U","Q","P3Female","Shine","Miss",1,"1Shine",NA,"3309xx",1,1,"solo",7.7792,7.75,"[ 7.28,  7.92)",24.4443208710542,"No",1,0,"other","Yes"
1004,NA,"1","female",36,0,0,"PC 17531",31.6792,"A","C","P1Female","Evans","Miss",1,"1Evans",NA,"PC 175xx",1,1,"solo",31.6792,30,"[26.39,128.08]",31.3374443725031,"No",1,0,"other","Yes"
1005,NA,"3","female",18.5,0,0,"329944",7.2833,"U","Q","P3Female","Buckley","Miss",1,"1Buckley",NA,"3299xx",1,1,"solo",7.2833,7.75,"[ 7.28,  7.92)",24.4443208710542,"No",1,0,"other","Yes"
1006,NA,"1","female",63,1,0,"PC 17483",221.7792,"C","S","P1Female","Straus","Mrs",2,"2Straus",NA,"PC 174xx",4,4,"group",55.4448,30,"[26.39,128.08]",43.3119597100749,"No",3,0,"other","No"
1007,NA,"3","male",18,1,0,"2680",14.4542,"U","C","P3Male","Chronopoulos","Mr",2,"2Chronopoulos",NA,"26xx",2,2,"duo",7.2271,7.75,"[ 3.17,  7.28)",23.7943221327528,"No",1,0,"other","No"
1008,NA,"3","male",25.1195277842898,0,0,"2681",6.4375,"U","C","P3Male","Thomas","Mr",2,"1Thomas",NA,"26xx",1,2,"duo",6.4375,7.75,"[ 3.17,  7.28)",25.1195277842898,"No",1,0,"other","Yes"
